Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L55580,L,298.6,309.6,1533.0,40.7,error
H37815,H,298.5,309.4,1671.0,,108
L55582,L,298.5,309.5,1370.0,52.4,113
L55583,L,298.5,309.6,1462.0,45.1,115
L55584,L,298.4,309.5,1545.0,36.6,117
M23265,M,298.4,309.5,1484.0,41.7,119
M23266,M,298.4,309.5,1344.0,45.3,122
L55587,L,298.4,309.5,1357.0,50.1,125
M23268,M,298.5,309.6,1572.0,33.0,127
L55589,L,298.5,309.6,1861.0,26.9,130
L55590,L,298.5,309.5,1548.0,44.5,132
L55591,L,298.6,309.8,1496.0,37.7,
M23272,M,298.6,309.7,1314.0,49.7,136
M23273,M,298.6,309.7,1422.0,49.7,
L55594,L,298.6,France,1842.0,20.1,142
M23275,M,,309.9,1434.0,53.0,error
M23276,M,298.8,310.1,1585.0,31.3,147
H37831,H,298.8,310.1,1704.0,30.7,150
L55598,L,298.9,France,1971.0,23.2,155
L55599,L,299.0,310.3,,39.9,157
L55600,L,298.9,310.4,1546.0,37.7,159
L55601,L,298.9,310.3,1496.0,36.3,161
H37836,H,298.9,310.3,1243.0,63.0,163
L55604,L,,310.6,1380.0,52.03311638085481,
L55606,L,299.1,310.5,1628.0,35.9,error
M23288,M,299.0,310.3,1827.0,28.0,178
L55609,L,299.0,310.3,1577.0,40.0,181
L55610,L,298.9,France,1304.0,57.2,183
H37845,H,298.9,310.1,1324.0,54.6,185
M23293,M,298.8,310.1,1501.0,48.7,192
M23294,M,298.7,309.9,,,195
L55616,L,298.7,309.9,1371.0,51.3,201
L55617,L,298.7,309.8,1181.0,65.9,203
L55618,L,298.6,309.8,1469.0,,205
L55619,L,298.6,309.8,1637.0,34.6,207
L55620,L,298.6,309.8,1370.0,,0
L55621,L,298.6,309.9,1630.0,30.6,2
L55622,L,298.6,310.0,,39.0,4
M23303,M,298.6,309.9,1668.0,32.3,6
M23304,M,298.6,309.9,1818.0,,9
M23305,M,298.6,310.0,1541.0,,12
L55626,L,298.5,309.9,,,15
L55627,L,298.6,310.1,1439.0,49.9,17
L55629,L,298.4,309.9,1725.0,27.8,21
L55630,L,298.4,310.0,1559.0,44.2,
L55631,L,298.5,310.0,1435.0,42.5,error
M23312,M,298.6,310.0,1512.0,37.5,
L55633,L,298.6,309.9,1564.0,37.1,error
L55634,L,298.6,310.0,1522.0,,
L55635,L,298.6,309.9,1356.0,59.5,34
L55636,L,298.6,France,1556.0,38.6,36
L55637,L,298.6,France,1393.0,45.5,38
L55638,L,298.7,309.9,1753.0,26.8,
L55639,L,,309.9,1651.0,29.5,42
L55640,L,,309.9,,54.7,44
L55641,L,298.7,309.9,1446.0,43.3,46
M23322,M,298.7,309.8,1501.0,44.7,
M23323,M,,309.9,1411.0,45.1,51
