Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L54320,L,300.5,309.9,1382.0,46.5,134
M22001,M,300.4,France,1356.0,44.4,136
H36556,H,300.3,309.7,1452.0,,error
H36557,H,,309.7,1582.0,,144
M22004,M,300.4,309.8,1517.0,40.3,
L54325,L,300.5,310.0,1413.0,44.5,152
L54326,L,300.4,309.9,1496.0,31.8,154
L54327,L,300.3,309.8,1466.0,41.2,156
M22008,M,300.3,309.8,1617.0,40.8,158
L54329,L,300.2,309.8,1506.0,41.8,161
L54330,L,,309.8,1401.0,48.91908231805661,163
H36565,H,300.2,309.9,1906.0,22.9,165
L54332,L,300.2,309.9,1566.0,36.4,170
L54333,L,,310.0,1493.0,47.3,172
L54334,L,300.3,310.1,1483.0,39.9,174
M22015,M,300.2,309.9,1569.0,31.2,176
M22016,M,,310.0,1664.0,30.7,179
L54337,L,,310.0,1486.0,40.1,182
L54338,L,300.2,310.0,1389.0,53.6,
L54339,L,300.1,310.0,1511.0,41.7,186
M22020,M,300.2,310.1,1485.0,40.5,188
L54341,L,300.2,310.2,1440.0,,191
M22023,M,300.1,310.1,1501.0,39.3,195
M22024,M,300.2,310.1,1474.0,44.0,198
L54345,L,300.2,310.1,1392.0,47.9,201
M22026,M,300.3,France,,44.7,203
L54348,L,,310.3,1704.0,,0
L54349,L,300.3,310.2,,52.3,
M22030,M,300.3,France,1442.0,39.5,
M22031,M,300.2,310.2,1438.0,51.5,error
M22032,M,300.1,310.1,1402.0,,10
L54353,L,300.1,310.1,1684.0,30.8,13
L54354,L,300.2,310.2,1530.0,48.5,error
L54355,L,300.1,310.1,1569.0,43.5,17
L54356,L,300.1,310.1,1650.0,31.6,19
L54357,L,300.2,France,1415.0,49.6,error
L54359,L,300.2,310.1,1523.0,42.3,25
M22046,M,,310.5,1644.0,31.4,41
L54367,L,,310.5,1402.0,54.3,44
L54368,L,300.4,310.4,,56.8,46
L54369,L,,310.4,,46.3,48
L54370,L,,310.3,1345.0,46.3,50
M22052,M,,310.2,1429.0,43.8,54
L54373,L,,310.1,1306.0,64.7,57
L54374,L,,310.1,1380.0,52.6,59
M22055,M,300.1,310.1,1443.0,,61
H36610,H,300.1,310.1,1426.0,,64
L54377,L,300.0,310.0,1486.0,41.8,69
M22058,M,300.0,309.9,,34.5,71
L54379,L,300.0,309.9,1507.0,41.4,74
L54380,L,300.0,309.9,1608.0,33.4,76
L54381,L,,309.8,1474.0,40.6,78
L54382,L,300.0,309.7,,61.9,
L54385,L,299.8,309.7,1483.0,39.6,87
L54386,L,299.8,France,1457.0,51.9,89
M22067,M,299.7,309.6,,34.4,91
