Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
H34454,H,304.1,313.2,,34.6,139
L52221,L,304.0,313.2,1314.0,47.1,144
L52222,L,304.1,313.2,1569.0,35.8,146
L52223,L,304.1,313.2,1468.0,,148
L52224,L,,313.2,1412.0,47.5,150
M19905,M,304.1,313.2,1510.0,46.9,152
M19906,M,304.1,313.2,1410.0,42.4,155
M19907,M,304.1,313.3,1680.0,29.3,158
H34462,H,,313.2,1271.0,68.6,161
H34463,H,304.0,France,1472.0,45.5,166
H34464,H,304.0,313.0,1701.0,30.4,171
L52231,L,303.9,313.0,1480.0,39.9,176
L52232,L,303.9,313.0,1433.0,48.4,178
L52233,L,303.8,312.9,1514.0,34.3,180
L52234,L,303.8,312.9,1619.0,35.7,182
H34469,H,303.8,France,1378.0,45.6,184
M19916,M,303.9,312.9,1430.0,,
L52237,L,,312.9,1367.0,49.9,192
L52238,L,303.9,312.9,1526.0,42.5,error
L52239,L,303.9,France,1419.0,47.9,196
L52240,L,,312.8,,42.7,198
L52241,L,304.0,312.9,1363.0,62.5,200
L52242,L,304.0,312.9,,53.9,202
H34477,H,304.0,312.9,,46.6,0
L52244,L,304.0,313.0,1407.0,42.1,5
L52245,L,304.1,313.0,1566.0,37.2,7
L52246,L,304.1,313.1,1550.0,,9
M19927,M,,France,1396.0,50.5,error
M19928,M,304.3,313.3,1540.0,39.0,14
M19929,M,304.2,313.2,1380.0,48.7,17
M19930,M,304.2,313.1,,31.1,20
H34485,H,304.2,313.0,1442.0,40.9,23
L52252,L,304.1,313.0,1408.0,45.3,28
M19933,M,304.0,313.0,1454.0,46.8,30
L52255,L,304.1,313.2,1366.0,46.6,35
L52256,L,304.2,313.2,1464.0,44.9,error
L52257,L,304.3,313.3,1775.0,24.9,39
M19938,M,304.3,France,,43.8,41
L52260,L,,313.3,1410.0,51.6,47
M19941,M,304.1,313.3,,39.0,49
H34496,H,304.1,313.2,1590.0,43.4,error
L52263,L,304.1,313.1,,54.1,error
M19945,M,304.0,313.0,1377.0,56.0,61
L52266,L,304.0,313.0,1541.0,,64
M19947,M,304.0,313.0,1685.0,28.2,66
M19949,M,303.9,313.1,-313.1,47.2,71
M19950,M,303.9,313.2,1570.0,,74
L52271,L,303.9,313.2,1345.0,48.2,77
M19952,M,303.9,313.2,1608.0,40.6,79
M19953,M,304.0,313.3,1415.0,52.8,82
M19954,M,304.1,313.5,1470.0,45.8,error
L52278,L,,313.4,1475.0,40.2,98
L52279,L,304.2,France,1438.0,50.1,100
M19960,M,,313.5,1437.0,47.2,102
M19962,M,304.1,313.5,1587.0,33.6,
L52283,L,304.1,313.4,1399.0,,111
L52284,L,304.1,France,1469.0,44.6,113
L52286,L,304.0,313.3,,36.7,117
L52287,L,303.9,313.2,1540.0,,119
L52288,L,303.9,313.3,1394.0,51.6,121
M19969,M,304.0,313.4,1389.0,45.8,error
M19970,M,,France,1732.0,,error
M19972,M,304.1,313.6,1441.0,,131
M19975,M,304.2,313.7,2113.0,18.4,139
L52297,L,304.1,313.6,1611.0,31.4,144
M19978,M,304.2,313.6,1512.0,33.4,146
L52299,L,304.2,313.6,-313.6,46.0,149
H34536,H,,313.5,1684.0,29.8,156
