Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L50960,L,302.4,311.1,1446.0,42.9,error
L50961,L,302.3,310.8,1465.0,43.8,7
L50962,L,302.2,310.8,1827.0,23.8,9
H33197,H,302.2,310.8,1397.0,47.6,11
L50964,L,302.2,310.8,,29.7,16
L50965,L,302.3,310.9,1545.0,36.7,18
L50966,L,302.3,310.9,1587.0,36.6,20
L50967,L,302.3,310.8,1377.0,,
L50968,L,302.3,310.8,,48.1,24
L50969,L,302.3,310.8,1650.0,32.4,26
L50970,L,302.3,310.9,1412.0,48.9,28
L50971,L,302.3,France,1528.0,43.1,30
L50972,L,302.3,310.9,1459.0,35.0,32
L50973,L,302.3,310.9,1379.0,,34
M18654,M,302.2,310.8,1356.0,48.3,36
M18655,M,302.1,310.8,1409.0,41.3,39
M18656,M,302.1,France,1504.0,37.5,42
L50977,L,,310.8,,36.8,45
L50978,L,302.1,310.8,1786.0,25.7,47
L50979,L,302.2,310.9,1506.0,34.0,49
M18660,M,302.1,310.9,1916.0,23.1,51
M18661,M,302.2,310.9,-310.9,27.6,54
M18662,M,302.2,310.9,,44.2,57
L50983,L,302.2,310.9,1531.0,37.5,60
L50984,L,302.3,310.9,1529.0,,
M18665,M,302.4,France,1580.0,36.5,64
M18666,M,302.3,310.9,1360.0,44.0,error
M18668,M,302.3,310.9,1762.0,24.5,
L50989,L,302.2,310.8,1350.0,56.6,76
M18670,M,,310.8,1562.0,38.1,78
L50992,L,302.0,310.6,,,84
L50996,L,302.1,France,1459.0,47.6,error
L50998,L,,France,1491.0,42.8,98
L50999,L,302.2,310.7,1567.0,,100
L51000,L,302.3,310.8,1421.0,41.4,102
L51001,L,302.3,310.9,1596.0,,104
M18682,M,302.4,France,1464.0,44.2,106
M18683,M,302.3,310.9,1581.0,36.1,109
L51004,L,,310.9,1620.0,30.3,error
H33240,H,302.3,310.8,1438.0,43.8,119
M18687,M,302.4,310.9,1469.0,41.6,124
M18688,M,302.3,310.8,1762.0,27.8,127
H33243,H,302.3,310.9,1366.0,48.4,130
L51010,L,302.3,310.9,1891.0,22.7,135
M18691,M,302.3,310.9,1742.0,29.7,137
M18692,M,302.2,France,1465.0,43.5,
M18694,M,302.3,311.1,1295.0,57.1,146
M18695,M,,311.1,1435.0,43.1,149
L51016,L,,311.2,1466.0,43.9,
L51018,L,302.4,311.1,1880.0,24.5,622.2
M18699,M,,311.0,1578.0,33.5,158
L51020,L,302.4,France,1610.0,,error
L51021,L,302.4,311.1,1565.0,42.8,163
L51022,L,,France,1545.0,40.1,165
L51024,L,302.4,311.1,1484.0,45.9,error
L51026,L,302.3,France,1403.0,47.2,173
M18707,M,302.3,France,1450.0,45.7,error
L51028,L,302.3,310.9,1720.0,28.1,error
H33265,H,,France,1415.0,48.4,185
