Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L53900,L,301.3,310.6,1458.0,48.0,104
L53901,L,301.4,310.7,1280.0,61.0,
L53902,L,301.4,310.7,1657.0,21.77144386678533,108
M21583,M,301.4,310.6,1565.0,36.1,110
L53904,L,301.3,310.6,1560.0,36.8,113
M21585,M,301.5,310.7,1359.0,47.1,115
L53906,L,301.5,310.8,1500.0,41.0,118
L53907,L,301.5,310.8,1785.0,25.5,120
L53908,L,301.5,310.9,1891.0,,122
H36143,H,301.5,310.9,1524.0,40.4,124
M21590,M,301.6,311.0,1431.0,42.3,129
L53911,L,301.6,310.9,1385.0,51.2,error
L53912,L,301.7,311.0,-311.0,44.8,134
M21593,M,301.7,311.0,1311.0,46.8,136
M21594,M,301.6,310.9,1575.0,40.1,error
L53915,L,,311.0,,40.1,
L53916,L,301.7,311.0,1527.0,42.2,144
M21597,M,301.7,311.0,1537.0,,146
H36152,H,301.8,France,1463.0,50.1,149
L53919,L,301.7,311.2,1482.0,,154
L53920,L,301.8,311.2,1417.0,55.9,
M21601,M,301.7,311.1,1506.0,39.5,158
H36156,H,301.7,311.2,1639.0,30.0,161
L53923,L,301.7,311.2,1418.0,38.0,166
M21604,M,301.7,311.0,,58.1,168
M21606,M,,311.1,1578.0,40.5,174
H36162,H,301.7,311.0,2016.0,19.3,
L53929,L,301.7,311.0,1585.0,35.9,185
M21610,M,,311.0,1505.0,44.0,error
M21611,M,301.7,311.0,1505.0,37.1,190
L53932,L,301.6,310.9,1706.0,29.5,193
L53933,L,301.6,France,1385.0,50.7,195
L53936,L,301.8,311.2,1840.0,26.6,202
L53937,L,301.8,France,1822.0,26.2,204
L53938,L,301.7,311.1,1644.0,,206
L53939,L,301.7,311.0,1441.0,44.3,208
L53940,L,,310.9,1451.0,40.6,0
L53941,L,301.5,310.9,,50.8,2
L53942,L,301.4,310.8,1362.0,53.2,4
M21623,M,301.4,310.8,1782.0,26.5,6
L53944,L,301.4,310.9,1536.0,38.3,9
L53945,L,301.5,France,,32.3,
M21626,M,301.4,311.0,1427.0,43.2,13
L53947,L,301.3,310.9,1509.0,41.7,16
H36182,H,301.3,310.8,1434.0,39.5,18
L53949,L,301.2,310.8,,52.6,23
M21630,M,301.3,310.8,1509.0,40.1,25
M21631,M,301.2,310.7,1962.0,22.5,28
L53952,L,301.3,310.7,1536.0,39.3,31
L53953,L,301.3,310.8,1381.0,47.9,33
H36188,H,301.2,310.7,1747.0,27.3,35
L53955,L,,310.6,1670.0,30.0,40
L53956,L,301.3,310.6,1451.0,,42
L53957,L,301.2,310.7,,21.3,error
M21638,M,,310.7,1819.0,25.5,46
M21639,M,301.3,310.8,,54.2,49
L53960,L,301.3,France,1560.0,38.5,FranceFrance
M21641,M,301.3,310.8,1494.0,35.3,54
L53962,L,301.3,310.8,1531.0,53.4,57
L53963,L,301.3,310.8,1450.0,,59
M21644,M,301.3,310.7,1391.0,52.5,61
L53965,L,301.2,310.6,1389.0,45.3,64
L53966,L,301.2,310.6,1409.0,50.9,66
H36201,H,301.1,France,1388.0,58.5,68
M21648,M,301.1,310.6,1410.0,43.9,
M21649,M,301.1,310.5,,30.7,76
M21650,M,301.1,310.7,2219.0,16.7,79
L53971,L,301.2,310.7,1551.0,41.2,82
L53972,L,301.2,310.6,1811.0,24.0,84
L53973,L,,310.7,1608.0,31.4,86
L53974,L,,310.8,1428.0,55.2,88
L53975,L,301.4,310.8,1477.0,50.4,90
M21656,M,301.3,310.7,1300.0,,
M21657,M,301.2,310.7,1615.0,34.9,
L53978,L,301.2,310.7,,32.4,98
M21659,M,301.1,310.7,2636.0,12.2,100
M21660,M,301.1,310.6,1310.0,48.8,error
L53981,L,301.1,310.7,1334.0,48.2,
M21662,M,301.1,310.7,1621.0,31.0,108
M21663,M,301.1,310.7,1367.0,43.4,111
L53984,L,301.0,310.6,1588.0,33.7,114
M21665,M,301.0,310.7,1497.0,37.6,
L53986,L,301.1,310.8,1608.0,32.9,error
L53987,L,301.0,310.8,1549.0,41.4,
L53988,L,301.0,310.7,1391.0,45.0,123
L53989,L,300.9,France,1490.0,38.1,125
L53990,L,301.0,310.7,1727.0,34.5,127
L53991,L,300.9,310.6,1504.0,46.4,129
L53992,L,300.9,310.6,1350.0,53.8,131
M21673,M,300.9,310.7,1420.0,43.0,133
H36228,H,300.8,310.6,1465.0,44.1,136
L53995,L,300.9,310.7,,44.1,141
L53996,L,300.9,310.7,,43.2,error
M21677,M,301.0,310.7,1493.0,48.1,error
M21678,M,301.0,310.7,1657.0,30.865469131042765,148
L53999,L,300.9,310.7,1359.0,46.0,
L54000,L,300.8,310.6,1551.0,,153
M21681,M,300.8,310.6,1545.0,37.5,155
M21682,M,300.9,310.6,1709.0,29.2,158
M21683,M,300.9,France,1268.0,56.3,161
L54004,L,300.9,France,1740.0,25.3,
L54005,L,,310.9,1828.0,,166
L54006,L,301.0,310.9,1822.0,21.6,168
M21687,M,301.0,310.9,,41.8,error
L54008,L,301.0,310.9,1392.0,52.9,173
H36243,H,300.9,310.9,1474.0,35.7,error
M21690,M,301.0,France,1359.0,53.4,180
L54011,L,301.1,311.0,1565.0,52.3,183
