Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M22840,M,301.2,312.4,-312.4,39.6,102
L55161,L,301.0,312.3,1445.0,36.4,105
L55162,L,301.0,312.3,1488.0,42.6,107
L55163,L,301.0,312.2,1601.0,33.0,109
L55164,L,301.0,312.3,1550.0,34.9,111
L55165,L,301.0,312.2,1540.0,34.1,113
L55166,L,,312.3,1587.0,34.5,115
H37401,H,301.0,312.2,1489.0,40.3,117
L55168,L,301.1,312.3,1486.0,34.9,122
L55169,L,301.1,312.4,1430.0,37.9,124
M22850,M,301.1,France,1809.0,25.1,error
L55171,L,301.1,312.3,1534.0,39.0,error
M22852,M,301.1,312.3,1852.0,25.9,131
L55173,L,301.1,312.3,1595.0,31.9,134
L55174,L,301.0,312.3,,43.5,136
L55175,L,301.0,312.2,1776.0,28.8,138
M22856,M,301.0,312.2,1499.0,41.5,140
M22857,M,301.0,312.2,2710.0,9.7,143
L55178,L,300.9,312.1,1359.0,51.7,
M22859,M,300.9,312.1,1617.0,31.0,148
M22860,M,300.8,312.0,1443.0,53.3,151
M22862,M,300.9,France,,23.0,156
L55184,L,,312.0,1533.0,44.0,162
L55185,L,300.8,312.0,,,error
L55186,L,300.9,312.1,1462.0,46.0,error
M22867,M,301.0,312.1,1664.0,28.4,168
L55188,L,300.8,311.9,1414.0,,171
M22873,M,300.9,312.0,,50.7,185
L55194,L,300.9,312.0,,44.2,188
M22875,M,301.0,312.0,1558.0,37.5,
L55199,L,301.0,312.1,1675.0,,200
L55202,L,300.9,312.0,,43.8,210
H37437,H,300.9,France,1397.0,42.7,212
L55204,L,,312.0,1493.0,38.7,217
M22885,M,300.8,312.0,1422.0,50.7,error
L55208,L,,311.8,1501.0,44.8,226
M22889,M,300.6,311.9,,35.3,0
L55210,L,300.6,312.0,,,3
L55211,L,300.7,312.0,1550.0,,5
L55212,L,,312.0,1416.0,46.5,7
L55213,L,300.7,311.9,1485.0,38.8,
L55214,L,300.7,311.8,,36.8,11
L55217,L,300.7,311.8,,34.1,17
L55218,L,300.7,311.8,,47.3,19
L55220,L,300.8,311.9,1498.0,39.3,
L55222,L,300.8,311.9,1486.0,,
M22905,M,,311.9,1366.0,,36
L55227,L,,311.9,1463.0,38.2,41
H37463,H,300.6,311.9,,30.5,45
L55230,L,300.7,312.0,,51.1,50
L55233,L,300.5,311.9,1887.0,,
L55234,L,300.4,France,1405.0,47.9,
H37469,H,300.2,France,1496.0,41.1,60
L55236,L,300.1,311.5,,43.4,65
L55238,L,300.3,311.6,,44.9,69
H37474,H,300.2,311.5,,44.3,73
M22921,M,,311.6,,41.4,
M22923,M,300.3,311.7,1551.0,36.4,error
L55246,L,300.4,311.9,,21.3,error
M22929,M,300.5,311.9,1875.0,22.1,
L55251,L,300.5,312.0,1646.0,29.5,
H37486,H,300.5,312.0,,,108
L55253,L,300.5,312.0,1558.0,,113
L55254,L,300.4,312.0,1631.0,34.9,115
L55255,L,300.4,312.0,1366.0,43.0,117
L55256,L,300.3,France,1360.0,48.0,119
H37496,H,300.1,311.5,,46.2,134
L55263,L,300.1,311.4,,42.2,error
L55265,L,300.2,France,1331.0,49.8,143
L55266,L,300.2,311.4,,,error
L55268,L,300.1,311.4,-311.4,45.7,149
L55269,L,300.1,France,1676.0,,151
M22952,M,300.2,311.6,,40.8,
L55273,L,300.2,311.6,,35.7,160
L55275,L,300.2,311.7,,48.3,167
L55278,L,300.2,311.6,1500.0,,174
L55280,L,,311.7,1682.0,27.8,178
L55282,L,300.3,France,1413.0,46.0,error
M22966,M,300.4,312.0,,30.4,
L55293,L,300.4,311.7,,45.6,error
L55295,L,300.4,311.8,1367.0,57.2,
L55300,L,300.2,France,1767.0,26.4,20
L55301,L,300.2,311.6,1827.0,27.0,
H37537,H,300.2,311.5,-311.5,36.8,27
L55306,L,300.2,311.4,1433.0,37.9,
L55309,L,300.0,311.3,1520.0,39.2,
H37545,H,,311.2,1364.0,49.6,50
L55313,L,,311.1,1466.0,46.1,58
M22996,M,299.6,310.9,1474.0,,64
L55320,L,299.6,310.9,1658.0,28.0,error
L55323,L,299.7,France,1477.0,40.4,83
M23004,M,,311.0,,42.7,85
M23005,M,299.7,310.9,1685.0,32.1,error
L55326,L,299.6,France,1533.0,31.8,91
L55327,L,299.5,310.8,1447.0,41.0,error
M23008,M,299.5,310.7,1488.0,39.5,error
M23009,M,299.6,310.8,1427.0,,98
M23010,M,299.5,310.7,,41.3,101
L55331,L,299.5,France,1472.0,,104
L55334,L,299.6,310.7,1393.0,52.1,error
L55335,L,299.5,310.8,1283.0,52.4,error
L55336,L,299.6,310.8,1644.0,30.9,error
M23020,M,299.7,311.1,1618.0,30.3,error
H37575,H,,311.0,1714.0,30.2,128
L55346,L,299.7,311.1,1603.0,,141
H37581,H,299.7,311.1,1353.0,47.1,143
L55348,L,299.7,311.1,1690.0,30.6,148
H37585,H,300.0,311.4,,34.5,error
H37587,H,299.9,France,1497.0,37.0,
L55354,L,299.9,311.3,1371.0,,622.6
L55357,L,299.7,311.1,1439.0,44.9,error
M23040,M,299.7,311.2,1616.0,42.3,
L55361,L,,311.2,1835.0,23.7,183
L55364,L,299.8,311.1,2144.0,,190
L55365,L,299.7,311.1,1554.0,,192
L55367,L,,310.9,1448.0,46.3,
M23048,M,299.6,France,,38.8,
L55369,L,299.7,311.0,1983.0,21.0,error
M23050,M,,310.9,1620.0,37.2,203
M23051,M,299.6,France,1630.0,,206
