Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L53480,L,301.2,France,1517.0,39.4,error
M21161,M,,310.6,1576.0,39.6,109
L53482,L,301.2,310.6,1437.0,51.2,112
H35717,H,,310.6,1457.0,50.5,114
L53484,L,301.1,310.5,1532.0,37.5,119
M21165,M,301.1,310.5,1603.0,32.6,121
L53486,L,301.0,310.4,1563.0,34.4,124
L53487,L,301.0,310.3,1617.0,34.5,126
M21168,M,300.8,310.1,1686.0,26.9,error
L53489,L,300.9,310.2,1382.0,50.4,
L53490,L,300.9,310.1,2090.0,,
L53491,L,300.9,310.3,1446.0,44.5,135
M21172,M,300.9,France,,38.1,137
L53493,L,300.9,310.3,1440.0,47.6,140
M21174,M,301.0,310.4,1793.0,25.0,
M21175,M,301.0,310.4,1517.0,46.1,145
L53496,L,,310.4,1544.0,36.0,
L53497,L,300.9,France,1321.0,48.8,150
M21178,M,300.9,310.3,1416.0,,error
L53499,L,300.8,310.2,1514.0,40.0,620.4
M21180,M,300.8,310.2,1304.0,52.5,157
L53501,L,300.7,310.2,1286.0,64.9,160
M21182,M,300.7,France,1483.0,40.2,162
L53503,L,300.7,310.1,1351.0,46.9,error
M21184,M,300.7,310.1,1367.0,52.6,167
L53505,L,300.7,310.1,1721.0,32.3,170
L53506,L,300.6,310.0,1455.0,40.4,
L53508,L,300.7,France,,29.7,176
M21189,M,300.7,310.0,,34.6,178
L53516,L,,309.8,1395.0,,201
M21201,M,300.4,309.8,1421.0,47.2,
L53523,L,300.2,309.8,1827.0,23.0,error
H35758,H,300.2,309.8,1374.0,,8
L53525,L,300.2,France,1650.0,29.6,13
L53527,L,300.2,309.7,,44.6,17
L53531,L,300.0,309.7,1542.0,47.1,error
L53534,L,300.1,France,1565.0,34.8,32
L53537,L,300.2,309.8,,54.8,39
M21221,M,300.1,France,1348.0,57.3,48
M21226,M,299.9,309.5,2065.0,,
L53550,L,300.1,309.6,-309.6,46.9,75
L53554,L,300.0,309.5,1506.0,38.8,error
L53556,L,300.0,309.6,1694.0,28.7,
L53561,L,300.2,309.7,1771.0,27.1,
L53566,L,300.2,309.7,,34.3,120
M21247,M,300.2,309.8,,39.2,122
H35803,H,,France,,30.1,130
L53570,L,300.3,309.8,,,135
M21251,M,300.2,309.7,1413.0,43.0,error
L53572,L,300.1,309.7,1680.0,33.8,error
L53576,L,300.0,309.6,1526.0,46.4,150
M21259,M,,309.6,,38.0,157
L53580,L,,309.7,1601.0,35.8,160
M21261,M,300.0,309.6,1573.0,39.7,162
L53590,L,300.4,310.1,1544.0,41.9,184
L53592,L,300.4,310.0,-310.0,44.2,
L53593,L,300.4,310.1,1614.0,33.5,191
M21274,M,300.4,310.1,1457.0,35.1,193
L53595,L,300.4,310.1,1503.0,,196
H35830,H,300.4,310.1,1484.0,38.0,198
L53597,L,300.3,309.9,,39.9,203
H35833,H,300.3,309.9,1394.0,46.7,
L53600,L,300.3,309.9,,36.4,0
L53601,L,,309.9,1527.0,,error
M21283,M,300.3,310.0,,37.5,6
L53605,L,300.3,309.9,-309.9,56.1,12
L53606,L,300.2,France,1448.0,36.8,14
L53611,L,300.2,France,1353.0,59.4,26
M21292,M,300.3,France,1447.0,46.5,28
L53615,L,300.3,309.9,1621.0,34.1,
L53619,L,300.6,310.1,1656.0,,44
L53620,L,300.6,310.2,1648.0,31.7,
L53621,L,300.7,France,1639.0,31.4,48
L53622,L,300.7,310.2,1348.0,54.8,50
L53623,L,300.8,310.3,1537.0,33.3,52
M21304,M,300.8,310.3,1270.0,61.0,54
L53625,L,300.7,310.3,1662.0,34.4,57
M21306,M,300.7,310.3,1471.0,40.2,59
L53627,L,300.6,France,1337.0,45.8,62
H35862,H,300.7,310.2,1877.0,,error
L53629,L,300.6,310.2,1519.0,44.6,69
L53630,L,300.6,310.2,1378.0,47.3,71
L53631,L,300.7,310.2,1696.0,27.5,73
L53632,L,300.7,310.1,1376.0,50.8,75
L53633,L,,310.2,1807.0,24.2,77
L53634,L,,310.1,1598.0,32.8,79
L53635,L,300.7,310.1,1565.0,40.2,81
L53636,L,300.7,310.2,1387.0,50.6,83
L53637,L,,310.0,1395.0,48.0,error
M21318,M,,310.0,1302.0,62.9,87
L53641,L,,310.0,1505.0,35.9,95
M21325,M,300.5,France,1416.0,48.5,110
L53647,L,300.4,France,1692.0,27.4,115
M21329,M,300.4,309.6,1521.0,35.0,119
L53651,L,300.4,309.6,1523.0,38.5,124
H35886,H,300.4,309.6,1571.0,33.6,126
L53655,L,300.5,309.7,1560.0,,
L53656,L,300.5,309.7,1384.0,,141
L53658,L,300.5,309.8,1663.0,29.1,145
L53659,L,,309.8,1418.0,42.7,147
L53661,L,300.7,France,1406.0,48.4,151
L53662,L,300.6,309.9,1480.0,43.7,
L53663,L,300.7,309.9,1412.0,45.3,error
H35898,H,,309.8,1913.0,22.5,157
L53665,L,300.6,309.8,1629.0,37.6,error
H35901,H,,309.8,1541.0,36.2,166
M21349,M,300.7,309.8,1490.0,38.8,
L53670,L,300.7,France,1383.0,44.5,176
L53674,L,300.6,309.7,1617.0,,185
L53677,L,300.8,309.9,1312.0,65.3,error
H35912,H,300.8,France,2041.0,19.2,194
M21363,M,300.9,309.9,1465.0,,209
M21364,M,301.0,310.1,1681.0,27.4,212
L53685,L,301.1,310.1,1457.0,39.6,error
H35920,H,301.0,310.1,1454.0,,217
L53687,L,301.0,310.1,1558.0,32.6,0
H35922,H,301.0,France,1756.0,30.7,2
L53689,L,301.1,310.1,1564.0,36.8,7
L53690,L,301.1,310.2,1455.0,55.3,9
M21371,M,301.2,310.1,2280.0,15.7,11
L53693,L,301.1,310.0,1513.0,38.0,
