Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M20320,M,303.0,312.4,1526,36.1,142
M20321,M,302.9,312.3,1339,52.1,error
L52642,L,302.9,312.3,1889,22.8,
L52643,L,,312.4,1561,34.8,150
M20324,M,302.9,312.4,1659,33.1,152
L52645,L,302.9,312.4,1424,49.5,
M20326,M,302.9,312.3,,44.7,157
L52647,L,,312.4,1383,51.4,160
L52648,L,302.8,312.3,1764,29.9,error
M20329,M,302.7,312.2,1439,42.5,164
M20330,M,302.7,312.2,1585,35.5,167
L52651,L,302.7,312.3,1346,61.2,170
L52652,L,302.8,312.3,1386,,172
L52653,L,302.7,312.2,1369,48.313282617677565,174
M20334,M,302.7,312.1,1378,46.9,176
L52655,L,302.7,312.2,1336,46.8,179
M20336,M,302.6,France,1445,42.0,181
L52657,L,302.7,312.1,1763,26.5,error
L52658,L,302.7,312.2,-312.2,34.1,error
M20339,M,302.7,312.1,1564,32.1,188
H34894,H,302.7,France,1478,36.0,191
L52661,L,302.6,France,1781,,196
L52662,L,,312.1,1782,26.8,198
M20343,M,302.6,France,2000,21.9,200
M20344,M,302.5,312.0,1826,,
L52665,L,302.6,312.1,1344,51.0,error
L52666,L,302.6,312.2,1520,43.0,208
M20347,M,302.6,312.1,1611,39.9,210
L52668,L,302.7,312.2,1450,52.1,error
L52669,L,302.6,312.1,1499,35.0,215
L52670,L,302.6,312.1,1288,68.5,0
M20351,M,,312.2,,58.6,error
M20352,M,302.9,312.4,1334,50.9,
L52673,L,302.8,312.4,1376,57.1,8
L52674,L,302.8,312.4,1368,49.5,10
H34909,H,302.9,312.5,1357,55.0,12
M20356,M,302.9,312.5,1924,24.0,17
M20357,M,302.9,312.5,1551,40.0,20
M20358,M,302.9,312.5,1903,21.2,23
H34913,H,302.9,312.3,1417,48.7,26
L52680,L,302.7,312.1,1601,35.2,31
L52681,L,,312.1,1543,37.5,33
L52682,L,302.6,312.1,-312.1,52.3,35
H34917,H,302.6,312.0,1657,29.3,37
L52684,L,302.8,France,1458,51.0,42
L52685,L,302.8,312.2,1746,27.4,44
L52686,L,302.9,312.2,1677,30.5,
L52687,L,302.8,312.1,1520,39.9,48
L52688,L,302.9,312.2,1367,55.1,50
L52689,L,302.8,312.2,1509,36.5,52
L52690,L,302.8,312.1,1418,51.4,
L52691,L,302.8,312.1,1958,20.3,56
L52692,L,302.8,312.2,1682,30.9,58
M20373,M,302.8,312.2,1452,,60
L52694,L,302.7,312.0,1828,24.0,63
H34929,H,302.7,312.0,1484,41.5,65
L52696,L,302.6,France,1674,32.2,70
L52697,L,302.6,311.9,1448,49.5,72
M20378,M,302.5,311.8,-311.8,19.1,74
L52699,L,302.5,311.9,1452,47.4,77
M20380,M,,France,1496,45.0,79
L52701,L,302.6,311.9,,,82
L52702,L,302.6,311.9,1453,39.1,84
M20383,M,302.5,311.9,1524,34.8,86
L52704,L,302.6,France,1633,,89
M20385,M,302.6,312.0,1363,45.7,91
L52706,L,302.5,311.9,1520,44.9,94
M20387,M,,311.9,1532,38.8,96
L52708,L,302.4,France,1384,50.9,99
M20389,M,302.4,311.8,1539,39.9,101
M20390,M,302.3,311.8,1355,50.1,104
M20391,M,302.3,311.7,,37.3,107
L52712,L,,311.8,1476,46.6,
L52713,L,302.4,311.7,1721,26.9,
M20394,M,302.3,311.7,1494,37.1,114
L52715,L,302.3,311.7,1465,43.5,117
M20396,M,302.3,311.8,1363,54.0,
L52717,L,302.4,311.8,1648,30.0,122
M20398,M,302.3,311.8,1879,23.0,124
H34953,H,302.3,311.7,1482,39.0,127
L52720,L,302.4,311.8,,,132
L52721,L,302.4,311.8,,42.2,134
L52722,L,302.3,311.7,1400,41.6,error
L52723,L,302.4,311.8,1255,59.0,error
L52724,L,302.2,311.7,1471,,140
H34959,H,302.2,France,1357,,error
L52726,L,,311.7,1453,41.2,147
M20407,M,302.3,311.7,1540,28.9,149
L52728,L,302.3,France,,35.2,152
H34963,H,302.3,311.9,1374,52.4,154
M20410,M,302.3,311.9,1508,42.3,159
H34965,H,302.4,311.9,1366,47.3,162
H34966,H,302.5,312.0,1579,35.7,error
L52733,L,302.5,311.9,1306,59.7,172
M20414,M,302.5,312.0,1521,40.2,174
L52735,L,302.5,312.0,1411,,177
H34970,H,302.5,312.0,1357,42.0,179
M20417,M,,312.0,1436,43.5,184
L52738,L,302.5,311.9,1553,40.1,error
M20419,M,302.5,312.0,1451,43.2,189
L52740,L,302.4,311.9,1541,,192
M20421,M,302.3,311.7,1341,,194
L52742,L,302.3,311.7,1648,32.1,197
M20423,M,302.3,311.7,1640,31.5,199
L52744,L,302.4,311.8,1416,46.1,202
L52745,L,302.4,311.9,1671,29.9,204
L52746,L,302.4,312.0,1457,45.5,206
M20427,M,302.5,312.0,1445,54.8,error
L52748,L,302.5,312.1,,38.6,3
L52749,L,,312.0,1508,36.20276615783017,error
M20430,M,302.4,312.1,1492,47.7,7
L52751,L,302.4,312.0,1562,37.9,10
L52752,L,302.4,312.0,1545,36.4,12
L52753,L,302.5,312.2,1738,25.3,
L52754,L,302.4,312.0,1305,49.1,16
H34989,H,,312.0,1477,,18
H34990,H,302.4,France,1457,43.4,23
L52757,L,302.4,312.1,1455,40.4,28
L52758,L,302.5,312.2,1574,38.7,error
L52759,L,302.6,312.2,1695,27.1,32
M20440,M,,312.2,1458,38.8,error
M20441,M,302.5,312.1,1454,47.6,error
L52762,L,302.5,312.0,2052,18.9,
L52763,L,302.5,312.0,1673,29.9,42
L52764,L,302.4,311.9,1578,29.9,
M20445,M,302.5,312.0,1642,29.1,46
M20446,M,302.4,311.8,1557,31.5,49
L52767,L,302.5,311.9,1481,42.9,52
M20448,M,302.5,311.8,1566,37.6,54
M20449,M,302.5,311.9,1298,57.5,57
M20450,M,302.5,France,1340,59.4,60
L52771,L,302.5,312.0,1574,33.8,63
L52772,L,,311.9,1437,46.7,
L52773,L,302.6,311.9,1354,48.0,67
L52774,L,302.6,311.9,1598,,69
M20455,M,302.7,France,,21.4,71
M20456,M,302.7,312.0,1538,,74
L52777,L,302.7,312.0,1501,37.0,error
L52778,L,302.8,France,1441,52.1,79
M20459,M,302.7,312.0,1652,31.0,81
L52780,L,302.8,312.1,1487,36.6,84
L52781,L,302.9,312.2,,33.9,86
L52782,L,302.9,312.1,1334,54.7,
L52783,L,302.9,312.2,1340,57.8,90
L52784,L,302.9,312.2,1513,37.8,92
L52785,L,302.9,312.2,1510,,94
L52786,L,302.9,312.2,1729,23.6,error
M20467,M,302.9,312.2,-312.2,25.5,98
M20468,M,303.1,312.3,1623,31.6,101
M20469,M,303.1,312.4,1378,,
L52790,L,303.1,312.4,1407,41.2,107
M20471,M,303.0,France,1674,29.5,109
L52792,L,,312.3,1486,42.4,112
M20473,M,,312.3,1483,38.8,114
H35028,H,303.0,312.2,1624,28.8,117
M20475,M,303.0,312.2,,71.3,122
L52796,L,303.0,312.3,1480,41.4,125
L52797,L,303.1,312.4,1404,61.5,127
M20478,M,303.0,312.4,1645,29.6,129
L52799,L,303.0,312.3,1932,21.9,132
