Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M24520,M,298.9,309.8,1392,43.1,218
H39075,H,299.0,310.0,1458,44.9,221
M24522,M,299.1,310.1,1570,30.9,226
L56843,L,299.1,310.1,1435,48.8,229
L56844,L,299.1,310.2,1317,54.8,error
L56845,L,299.2,310.3,1610,33.3,233
M24526,M,299.1,310.3,1838,24.0,
L56847,L,299.2,310.3,1352,48.9,238
L56848,L,299.1,310.3,1619,35.2,240
L56849,L,299.1,310.3,1619,31.1,
L56850,L,299.0,310.2,1690,30.7,244
L56851,L,299.0,310.2,1412,44.1,246
H39086,H,299.0,310.2,,31.5,0
M24533,M,299.0,310.1,1593,35.4,5
L56854,L,,310.2,1695,29.6,error
M24535,M,299.0,France,1298,57.2,10
L56856,L,299.0,310.1,1886,21.2,13
L56857,L,299.0,310.1,2033,19.3,15
M24538,M,299.1,310.2,1711,28.1,17
L56859,L,299.1,310.2,1598,33.4,
L56860,L,299.1,310.1,,,22
M24541,M,,310.1,1412,44.4,24
L56862,L,299.1,310.0,1394,46.6,27
M24543,M,299.0,310.0,1338,56.4,29
H39098,H,298.9,309.9,1376,51.0,32
L56865,L,299.0,310.0,,48.1,37
L56866,L,,310.1,1486,40.7,error
M24547,M,299.1,310.1,1649,31.6,41
L56868,L,299.1,310.1,1367,,44
L56869,L,299.0,310.1,1362,59.5,
M24550,M,298.9,310.0,1520,37.92742100826303,48
L56871,L,299.0,France,1582,31.9,51
M24552,M,299.0,310.0,,30.0,
L56873,L,298.9,310.0,1693,,56
L56874,L,298.9,310.0,1559,33.4,58
L56875,L,298.9,309.9,1592,32.0,60
L56876,L,298.9,309.9,1404,39.8,62
M24557,M,298.8,309.8,1413,45.5,64
L56878,L,298.8,309.8,,28.2,67
L56879,L,298.8,309.8,1508,36.3,69
M24560,M,298.9,309.8,1353,53.7,71
L56881,L,298.8,309.8,,42.4,74
L56882,L,298.9,310.0,1633,31.2,
L56883,L,,310.0,1422,,78
L56884,L,,310.1,1577,41.4,80
L56885,L,298.9,310.0,,41.1,82
M24566,M,299.0,310.1,1705,30.1,84
L56887,L,299.0,310.1,1699,32.9,
L56888,L,299.0,310.1,1664,29.7,89
M24569,M,299.0,310.0,1486,34.6,91
L56890,L,299.1,France,1336,61.3,94
H39125,H,299.1,310.1,-310.1,42.9,620.2
M24572,M,299.1,310.2,1456,48.4,error
L56893,L,,310.2,1496,45.0,104
L56894,L,299.1,310.1,1894,20.1,106
L56895,L,299.1,310.1,1373,55.6,108
H39130,H,299.0,310.0,1387,45.2,110
L56897,L,298.9,309.9,,,115
L56898,L,298.9,309.9,1517,,117
L56899,L,298.9,309.9,1309,56.2,119
M24580,M,298.9,309.9,1357,54.5,121
L56901,L,298.8,309.8,1490,40.6,124
H39136,H,298.8,France,1911,,FranceFrance
L56903,L,298.8,France,1599,33.6,131
M24584,M,298.8,309.7,2098,19.0,133
M24585,M,,309.7,,27.9,136
L56906,L,298.8,309.8,1557,37.2,error
L56907,L,298.8,309.8,1461,39.4,141
L56908,L,298.8,309.8,1563,,143
L56909,L,298.7,309.8,1695,,
L56910,L,298.8,France,1528,36.7,147
L56911,L,298.8,France,1389,49.6,149
L56912,L,298.9,310.0,2231,,151
M24593,M,298.9,310.1,,42.9,153
H39148,H,298.9,France,1458,44.3,156
L56915,L,299.0,310.1,1444,47.7,error
M24596,M,298.9,310.0,1348,58.2,163
L56917,L,298.9,310.0,1791,27.6,166
L56918,L,299.0,310.0,1509,38.0,168
L56919,L,298.9,310.0,,42.9,170
M24600,M,298.9,310.1,1655,31.5,172
L56921,L,298.9,France,,42.9,error
L56922,L,298.9,310.2,1623,37.2,177
L56923,L,298.9,France,1562,42.5,179
L56924,L,298.8,310.1,1574,36.2,
L56925,L,,310.0,1611,32.4,183
L56926,L,298.8,France,1403,45.6,185
L56927,L,,310.1,1481,47.4,187
M24608,M,298.9,310.1,1441,41.2,189
H39163,H,298.8,310.1,1483,45.4,192
L56930,L,298.7,310.0,1555,32.6,197
L56931,L,298.6,309.9,1615,28.8,199
L56932,L,298.6,309.8,1561,30.847103921697297,201
L56933,L,298.5,309.8,1593,35.1,203
M24614,M,298.5,309.7,1552,34.0,205
H39169,H,298.5,309.7,1561,35.3,208
L56936,L,298.6,309.8,1597,35.9,213
M24617,M,298.6,309.9,1517,,215
L56938,L,298.6,309.8,2271,16.2,218
L56939,L,298.5,309.7,1613,36.7,0
M24620,M,298.5,309.6,1509,47.3,2
L56941,L,298.6,309.7,1703,26.1,5
L56942,L,298.6,309.7,1925,22.1,7
M24623,M,298.6,309.6,,29.7,9
L56944,L,298.5,309.5,1294,66.7,12
L56945,L,298.6,309.6,1472,39.1,14
H39180,H,298.6,309.6,1449,42.5,16
L56947,L,298.6,309.6,1563,35.0,21
L56948,L,298.6,309.6,1611,,23
L56949,L,298.6,France,1386,48.6,25
H39184,H,298.6,309.5,,31.8,27
M24631,M,298.7,309.6,1424,50.4,32
L56952,L,298.5,309.5,1561,34.8,35
L56953,L,298.5,309.4,,37.9,37
H39188,H,298.6,309.5,1375,41.0,39
M24635,M,298.6,309.5,1684,27.8,44
M24636,M,298.6,309.6,1397,54.1,47
L56957,L,298.6,309.6,1387,57.6,50
H39192,H,298.7,309.7,,54.5,error
L56959,L,298.8,309.8,1509,36.2,57
M24640,M,,309.8,1477,,59
L56961,L,298.8,309.9,1441,41.6,62
L56962,L,298.7,309.9,1404,47.1,64
H39197,H,298.8,309.9,1466,44.6,66
M24644,M,298.7,309.8,1435,48.8,71
H39199,H,298.7,309.7,1697,29.8,error
M24646,M,298.7,309.6,1738,27.3,
H39201,H,298.6,309.5,1420,50.4,error
