Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L51800,L,,311.3,1336,52.6,
L51801,L,303.0,311.2,1341,,174
M19482,M,,311.1,1526,37.3,176
L51803,L,303.0,311.1,,40.7,179
M19484,M,303.0,311.1,1428,39.8,181
L51805,L,303.0,311.2,1511,45.7,error
L51806,L,303.0,311.2,1664,29.8,error
M19487,M,303.0,311.2,,38.9,188
M19488,M,303.0,311.1,1597,36.7,
L51809,L,303.0,311.2,1735,20.63330101002306,194
L51810,L,302.9,311.2,1751,23.8,196
L51811,L,303.0,311.2,1383,44.6,198
M19492,M,302.9,311.2,1330,53.7,
L51813,L,303.0,311.2,1382,,203
L51814,L,303.0,311.2,1755,30.4,error
M19495,M,303.0,France,1614,35.7,207
L51816,L,303.0,311.3,1466,43.0,210
M19497,M,303.1,311.3,1847,24.7,212
L51818,L,303.1,311.3,1474,34.8,215
L51819,L,,311.3,1657,31.8,217
L51820,L,303.1,311.2,1435,40.1,
H34055,H,303.1,311.3,-311.3,42.7,error
L51822,L,303.2,311.4,1238,,226
L51823,L,303.2,311.4,1324,,228
L51824,L,303.2,311.4,1514,41.2,230
L51825,L,303.3,311.4,1732,25.6,232
L51826,L,303.3,311.4,1497,46.0,234
L51827,L,303.3,311.4,1958,21.5,0
L51828,L,303.3,311.4,1630,32.5,2
M19509,M,303.3,France,1395,59.1,
L51830,L,,France,1658,30.5,7
L51831,L,303.2,311.4,1349,51.1,9
L51832,L,303.1,311.2,1452,52.9,11
M19513,M,303.1,311.1,1594,35.5,13
M19514,M,303.1,311.0,1510,47.6,16
L51835,L,303.1,311.1,1854,22.6,error
L51836,L,,311.2,,32.3,21
L51837,L,303.1,311.2,1628,35.2,23
L51838,L,303.1,311.2,1679,34.8,25
M19519,M,303.1,France,1489,44.5,27
L51840,L,303.2,France,1439,43.9,error
L51841,L,303.3,311.3,1350,48.1,
H34076,H,303.3,311.2,1607,31.7,34
L51843,L,303.3,311.3,,53.9,39
M19524,M,303.3,311.3,1566,46.1,41
M19525,M,303.4,311.4,1307,54.0,44
M19526,M,,France,1569,36.6,47
H34081,H,303.3,311.4,1651,30.6,50
H34082,H,,311.4,1692,27.9,
M19529,M,303.3,311.5,1373,47.3,error
L51850,L,303.2,311.4,1610,35.5,63
L51851,L,303.3,311.4,,43.4,
L51852,L,303.3,311.5,1412,55.6,67
L51853,L,303.4,311.5,1501,36.2,69
L51854,L,303.4,311.5,1414,44.8,71
H34089,H,303.5,311.5,1629,33.5,73
L51856,L,303.4,311.5,1879,21.3,78
H34091,H,303.5,311.6,1466,47.0,80
H34092,H,303.6,311.7,,40.1,85
L51859,L,303.6,311.8,1695,30.7,90
L51860,L,303.6,311.7,1491,,92
M19541,M,303.6,France,1659,,
