Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M22420,M,300.3,311.3,1377,53.8,125
L54741,L,300.3,311.1,1388,49.4,128
M22422,M,300.3,311.1,1350,58.7,130
M22423,M,300.4,311.2,1831,23.4,133
M22424,M,,France,,65.2,
M22425,M,300.3,311.2,1783,25.6,139
L54746,L,300.3,311.0,1613,34.7,142
M22427,M,300.2,311.0,2370,14.7,144
L54748,L,300.2,311.0,,33.7,error
L54749,L,300.2,311.0,1255,71.8,149
H36984,H,300.2,311.0,1777,27.5,151
L54751,L,300.3,311.1,1606,30.9,156
L54752,L,300.3,311.1,1676,28.6,158
L54753,L,300.3,France,1605,37.1,160
L54754,L,300.4,311.1,1487,37.4,162
L54755,L,300.4,311.2,1471,46.5,164
M22436,M,300.3,311.1,1477,44.2,166
L54757,L,300.4,311.2,1530,32.0,169
L54758,L,300.4,France,1673,28.9,171
L54759,L,,311.2,1436,56.8,
L54760,L,300.4,311.3,1495,51.2,175
M22441,M,300.4,311.2,1366,56.1,177
H36996,H,300.4,311.2,1489,,180
L54763,L,300.3,311.1,1480,46.6,185
L54764,L,300.4,311.2,1472,37.3,187
L54765,L,300.4,311.1,1397,50.8,189
L54766,L,300.4,311.1,1589,35.5,191
L54767,L,300.4,France,1405,54.1,193
L54768,L,300.4,311.1,2013,20.1,
L54769,L,300.4,311.0,1802,26.0,197
M22450,M,300.4,311.0,1433,46.1,199
M22451,M,300.5,311.1,1296,61.3,202
M22452,M,,311.2,1551,36.6,205
L54773,L,300.5,311.2,1270,67.5,
L54774,L,300.6,311.3,1531,38.5,0
H37009,H,,311.2,,45.2,2
L54776,L,300.5,311.1,1547,37.2,
L54777,L,300.5,311.0,2074,18.9,9
L54778,L,300.5,311.1,1491,42.6,11
L54779,L,300.5,311.0,1759,28.3,13
M22460,M,300.4,311.0,1595,35.4,15
L54781,L,300.4,France,1351,62.0,18
L54782,L,300.4,311.2,1705,28.7,20
L54783,L,300.4,311.2,1406,43.6,error
L54784,L,300.4,311.3,1639,,24
H37019,H,300.4,311.3,2026,,26
M22466,M,300.4,311.3,1350,56.5,
M22467,M,300.5,311.3,1468,41.1,34
L54788,L,300.5,311.4,,,37
L54789,L,300.5,311.3,1490,41.8,39
M22470,M,300.5,311.3,1507,43.4,41
L54791,L,300.5,311.4,1611,32.7,44
M22472,M,300.5,311.4,1743,27.6,46
L54793,L,300.5,311.3,1475,,49
L54794,L,300.5,311.4,1432,47.5,51
L54795,L,300.5,311.4,1442,47.0,53
M22476,M,300.6,311.4,1468,40.4,55
L54797,L,300.5,311.4,1556,45.3,58
M22478,M,300.5,France,1312,51.4,60
L54799,L,300.6,311.5,1459,47.0,
L54800,L,300.5,311.5,1651,36.9,65
L54801,L,300.5,311.5,1490,38.4,error
M22482,M,,311.6,1473,31.5,error
L54803,L,300.6,311.7,,29.9,error
L54804,L,300.6,311.7,1507,45.5,74
L54805,L,300.6,311.7,1556,34.9,76
H37040,H,300.5,311.6,1351,,78
L54807,L,300.5,311.7,1445,44.8,83
L54808,L,,311.7,1619,,85
M22489,M,300.5,311.7,1269,64.0,87
L54810,L,300.5,311.6,1534,,90
L54811,L,300.5,311.6,1444,49.3,
L54812,L,300.5,311.6,,26.8,94
L54813,L,300.4,311.5,1441,44.6,96
M22494,M,300.3,311.3,1506,40.7,98
L54815,L,300.3,311.4,1526,38.5,101
L54816,L,300.4,311.5,1704,29.7,error
H37051,H,300.4,311.4,1445,52.4,105
L54818,L,,311.5,1661,35.9,110
L54819,L,300.5,311.4,1466,41.8,error
L54820,L,300.4,311.3,1608,35.1,114
M22501,M,300.4,311.4,1352,57.3,116
M22502,M,300.4,311.4,,31.7,119
H37057,H,300.4,311.4,1427,50.7,622.8
L54824,L,300.4,311.4,1424,44.6,127
L54825,L,300.4,311.4,1662,29.3,129
L54826,L,300.4,311.4,1936,23.9,
L54827,L,300.4,311.4,1728,31.7,error
L54828,L,300.4,France,1552,28.8,135
H37063,H,,311.5,1662,29.0,137
L54830,L,300.3,311.4,1343,57.7,142
M22511,M,300.4,311.5,1476,,144
L54832,L,,311.4,1346,51.1,147
L54833,L,300.4,311.5,1492,44.6,149
M22514,M,300.3,311.5,1540,41.5,151
L54835,L,300.4,311.5,1596,32.5,error
L54836,L,300.5,311.6,1541,47.8,156
