Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L55580,L,298.6,309.6,1533,40.7,error
H37815,H,298.5,309.4,1671,,108
L55582,L,298.5,309.5,1370,52.4,113
L55583,L,298.5,309.6,1462,45.1,115
L55584,L,298.4,309.5,1545,36.6,117
M23265,M,298.4,309.5,1484,41.7,119
M23266,M,298.4,309.5,1344,45.3,122
L55587,L,298.4,309.5,1357,50.1,125
M23268,M,298.5,309.6,1572,33.0,127
L55589,L,298.5,309.6,1861,26.9,130
L55590,L,298.5,309.5,1548,44.5,132
L55591,L,298.6,309.8,1496,37.7,
M23272,M,298.6,309.7,1314,49.7,136
M23273,M,298.6,309.7,1422,49.7,
L55594,L,298.6,France,1842,20.1,142
M23275,M,,309.9,1434,53.0,error
M23276,M,298.8,310.1,1585,31.3,147
H37831,H,298.8,310.1,1704,30.7,150
L55598,L,298.9,France,1971,23.2,155
L55599,L,299.0,310.3,,39.9,157
L55600,L,298.9,310.4,1546,37.7,159
L55601,L,298.9,310.3,1496,36.3,161
H37836,H,298.9,310.3,1243,63.0,163
L55603,L,299.0,310.4,1452,46.2,168
L55604,L,,310.6,1380,52.03311638085481,
L55605,L,299.2,310.6,1567,38.4,172
L55606,L,299.1,310.5,1628,35.9,error
L55607,L,299.1,310.4,1505,46.1,176
M23288,M,299.0,310.3,1827,28.0,178
L55609,L,299.0,310.3,1577,40.0,181
L55610,L,298.9,France,1304,57.2,183
H37845,H,298.9,310.1,1324,54.6,185
L55612,L,298.8,310.0,1537,39.9,190
M23293,M,298.8,310.1,1501,48.7,192
M23294,M,298.7,309.9,,,195
M23295,M,298.7,310.0,1519,38.1,198
L55616,L,298.7,309.9,1371,51.3,201
L55617,L,298.7,309.8,1181,65.9,203
L55618,L,298.6,309.8,1469,,205
L55619,L,298.6,309.8,1637,34.6,207
L55620,L,298.6,309.8,1370,,0
L55621,L,298.6,309.9,1630,30.6,2
L55622,L,298.6,310.0,,39.0,4
M23303,M,298.6,309.9,1668,32.3,6
M23304,M,298.6,309.9,1818,,9
M23305,M,298.6,310.0,1541,,12
L55626,L,298.5,309.9,,,15
L55627,L,298.6,310.1,1439,49.9,17
L55628,L,298.5,310.0,1492,41.2,19
L55629,L,298.4,309.9,1725,27.8,21
L55630,L,298.4,310.0,1559,44.2,
L55631,L,298.5,310.0,1435,42.5,error
M23312,M,298.6,310.0,1512,37.5,
L55633,L,298.6,309.9,1564,37.1,error
L55634,L,298.6,310.0,1522,,
L55635,L,298.6,309.9,1356,59.5,34
L55636,L,298.6,France,1556,38.6,36
L55637,L,298.6,France,1393,45.5,38
L55638,L,298.7,309.9,1753,26.8,
L55639,L,,309.9,1651,29.5,42
L55640,L,,309.9,,54.7,44
L55641,L,298.7,309.9,1446,43.3,46
M23322,M,298.7,309.8,1501,44.7,
M23323,M,,309.9,1411,45.1,51
H37878,H,298.6,France,1672,27.5,54
M23325,M,298.7,309.8,1475,40.5,59
L55646,L,,309.8,1469,38.4,62
L55647,L,298.6,309.8,1704,28.3,
H37882,H,298.6,309.7,1463,39.1,error
M23329,M,298.6,309.7,1280,64.1,
L55650,L,298.7,309.9,1464,38.0,74
L55651,L,298.6,309.8,1332,46.4,error
L55652,L,298.5,France,1634,,78
M23333,M,298.6,309.8,1430,43.1,
M23334,M,298.5,309.7,1523,44.6,83
M23335,M,298.5,France,1557,37.7,86
L55656,L,298.5,309.6,1585,32.2,89
H37891,H,298.5,309.6,1579,33.5,91
M23338,M,298.5,309.7,1354,60.8,error
L55659,L,298.6,309.7,1627,33.4,99
L55660,L,298.4,309.6,1477,35.6,101
M23341,M,298.3,309.4,1595,,103
L55662,L,298.4,309.5,1520,,106
L55663,L,298.3,309.4,1618,31.5,108
L55664,L,298.4,309.5,1397,,110
L55665,L,298.4,309.5,,47.9,112
M23346,M,298.5,309.5,1501,40.2,114
L55667,L,298.4,309.4,1392,50.1,117
L55668,L,298.4,309.4,1385,43.2,618.8
L55669,L,298.4,309.4,,46.3,121
M23350,M,298.5,309.6,1364,58.7,123
L55671,L,298.5,309.5,1579,38.6,
M23352,M,298.4,309.5,1514,38.8,error
M23353,M,298.3,309.5,1560,,131
L55674,L,298.3,309.5,1542,36.7,134
L55675,L,298.3,309.4,1668,27.1,136
M23356,M,298.3,309.4,1816,22.6,error
M23357,M,,309.4,1509,34.2,error
L55678,L,298.4,309.6,1479,37.8,error
L55679,L,298.4,309.6,1655,30.2,146
L55680,L,298.3,309.5,1711,30.3,148
L55681,L,298.4,309.7,1581,34.6,150
H37916,H,298.6,309.8,1279,55.9,
L55683,L,298.5,309.8,1468,40.9,157
L55684,L,298.4,309.7,1419,41.3,159
L55685,L,298.4,309.7,1530,,161
L55686,L,298.4,309.6,1710,27.3,163
L55687,L,298.4,309.7,1518,39.8,error
M23368,M,298.4,309.7,1679,33.3,167
M23369,M,,309.7,1870,22.5,
L55690,L,,309.7,1484,44.3,173
L55691,L,298.4,309.7,1457,44.2,175
H37926,H,298.3,309.6,1546,36.2,177
