Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M24100,M,298.1,France,1362,49.6,158
L56421,L,298.1,308.7,1683,29.1,161
M24102,M,298.2,308.7,1269,60.9,617.4
L56423,L,,308.8,,49.0,166
L56424,L,298.3,308.8,1767,27.3,168
L56425,L,298.3,308.9,,27.3,170
L56426,L,,308.9,1862,27.0,
L56427,L,298.3,308.9,1695,30.7,174
M24108,M,298.3,309.1,1488,40.6,176
L56429,L,298.3,309.0,1657,32.2,179
H38664,H,298.3,309.0,1823,22.50608913019689,181
M24111,M,298.2,309.1,1651,28.8,186
M24112,M,298.1,309.0,1533,,189
M24113,M,298.2,309.0,1508,40.5,192
L56434,L,298.3,France,,,error
L56435,L,298.2,309.0,,,197
L56436,L,298.2,309.1,1569,35.2,199
M24117,M,298.3,309.1,1296,58.7,201
H38672,H,,309.0,1379,43.2,0
M24119,M,298.2,309.0,1694,28.0,618.0
L56440,L,298.2,309.0,1377,,8
H38675,H,298.3,309.0,1470,38.4,10
M24122,M,,309.1,1404,47.0,15
L56443,L,298.3,309.1,1593,40.1,
M24124,M,298.3,309.0,1526,36.9,
M24125,M,298.3,308.9,,49.7,23
L56446,L,298.2,308.9,1737,25.5,26
L56447,L,298.2,308.8,-308.8,,28
L56448,L,298.2,308.8,1666,31.5,30
L56449,L,,308.8,1354,60.9,error
L56450,L,298.2,308.8,1302,60.4,34
L56451,L,298.2,France,1991,20.5,36
L56452,L,298.2,308.6,,54.1,
H38687,H,298.2,France,1520,35.7,40
L56454,L,298.2,308.7,1428,,45
L56455,L,298.2,308.7,1605,29.4,error
L56456,L,298.1,308.7,1691,26.172129924577035,49
L56457,L,298.2,308.7,1447,48.4,error
H38692,H,298.2,France,1606,39.9,error
M24139,M,298.2,308.8,1645,28.2,
H38694,H,298.2,308.8,1470,43.3,61
L56461,L,,308.9,1336,,617.8
M24142,M,298.2,308.9,1414,44.3,68
M24143,M,298.3,309.0,1802,27.5,71
L56464,L,298.2,308.9,1683,31.7,74
M24145,M,298.2,309.0,1410,47.6,
L56466,L,298.2,308.9,,32.0,79
L56467,L,298.2,308.9,,28.1,81
L56468,L,,308.9,1444,53.1,83
L56469,L,298.2,France,1367,45.0,85
L56470,L,298.2,309.0,1418,44.2,87
L56471,L,298.2,309.0,1353,57.8,89
L56472,L,298.2,309.0,1643,34.1,91
L56473,L,298.3,309.1,1437,38.0,error
L56474,L,298.1,309.0,1437,36.2,95
M24155,M,298.2,309.0,1413,47.9,error
H38710,H,298.2,309.0,1524,39.1,100
M24157,M,298.1,308.9,1479,43.4,105
L56478,L,298.1,308.9,1313,50.6,108
M24159,M,298.1,France,1335,50.4,error
L56480,L,298.1,France,1367,41.9,
M24161,M,298.1,308.9,1459,50.3,115
M24162,M,,308.9,1804,25.1,118
L56483,L,298.2,France,1491,,121
L56484,L,298.3,France,1537,43.0,123
H38719,H,298.3,309.1,1646,30.2,125
M24166,M,298.3,France,1783,28.3,130
L56487,L,298.3,309.1,1395,49.8,133
