Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L53480,L,301.2,France,1517,39.4,error
M21161,M,,310.6,1576,39.6,109
L53482,L,301.2,310.6,1437,51.2,112
H35717,H,,310.6,1457,50.5,114
L53484,L,301.1,310.5,1532,37.5,119
M21165,M,301.1,310.5,1603,32.6,121
L53486,L,301.0,310.4,1563,34.4,124
L53487,L,301.0,310.3,1617,34.5,126
M21168,M,300.8,310.1,1686,26.9,error
L53489,L,300.9,310.2,1382,50.4,
L53490,L,300.9,310.1,2090,,
L53491,L,300.9,310.3,1446,44.5,135
M21172,M,300.9,France,,38.1,137
L53493,L,300.9,310.3,1440,47.6,140
M21174,M,301.0,310.4,1793,25.0,
M21175,M,301.0,310.4,1517,46.1,145
L53496,L,,310.4,1544,36.0,
L53497,L,300.9,France,1321,48.8,150
M21178,M,300.9,310.3,1416,,error
L53499,L,300.8,310.2,1514,40.0,620.4
M21180,M,300.8,310.2,1304,52.5,157
L53501,L,300.7,310.2,1286,64.9,160
M21182,M,300.7,France,1483,40.2,162
L53503,L,300.7,310.1,1351,46.9,error
M21184,M,300.7,310.1,1367,52.6,167
L53505,L,300.7,310.1,1721,32.3,170
L53506,L,300.6,310.0,1455,40.4,
L53507,L,300.6,310.0,1425,49.5,174
L53508,L,300.7,France,,29.7,176
M21189,M,300.7,310.0,,34.6,178
M21190,M,300.5,310.0,1580,37.0,181
H35745,H,300.5,310.0,1495,47.4,184
M21192,M,300.5,309.9,1994,19.8,189
M21193,M,300.4,309.9,1415,31.8,192
M21194,M,300.4,309.8,1725,30.4,195
M21195,M,300.4,309.8,1430,43.4,198
L53516,L,,309.8,1395,,201
M21197,M,300.4,309.8,1435,43.6,203
L53518,L,300.4,309.9,1681,28.6,206
L53519,L,300.5,310.0,1451,48.6,208
H35754,H,300.5,309.9,1397,45.9,210
M21201,M,300.4,309.8,1421,47.2,
M21202,M,300.3,309.8,1444,42.0,3
L53523,L,300.2,309.8,1827,23.0,error
H35758,H,300.2,309.8,1374,,8
L53525,L,300.2,France,1650,29.6,13
L53526,L,300.2,309.7,1275,60.7,15
L53527,L,300.2,309.7,,44.6,17
L53528,L,300.2,309.8,1557,33.8,19
L53529,L,300.1,309.8,1506,35.2,21
L53530,L,300.1,309.7,1362,49.1,23
L53531,L,300.0,309.7,1542,47.1,error
L53532,L,300.0,309.6,1496,38.8,27
M21213,M,300.0,309.6,1491,42.0,29
L53534,L,300.1,France,1565,34.8,32
L53535,L,300.1,309.7,1481,37.9,34
M21216,M,300.1,309.7,1420,48.4,36
L53537,L,300.2,309.8,,54.8,39
M21218,M,300.2,309.8,1466,45.7,41
L53539,L,300.1,309.8,1430,56.7,44
L53540,L,300.1,309.7,1441,40.1,46
