Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L54320,L,300.5,309.9,1382,46.5,134
M22001,M,300.4,France,1356,44.4,136
H36556,H,300.3,309.7,1452,,error
H36557,H,,309.7,1582,,144
M22004,M,300.4,309.8,1517,40.3,
L54325,L,300.5,310.0,1413,44.5,152
L54326,L,300.4,309.9,1496,31.8,154
L54327,L,300.3,309.8,1466,41.2,156
M22008,M,300.3,309.8,1617,40.8,158
L54329,L,300.2,309.8,1506,41.8,161
L54330,L,,309.8,1401,48.91908231805661,163
H36565,H,300.2,309.9,1906,22.9,165
L54332,L,300.2,309.9,1566,36.4,170
L54333,L,,310.0,1493,47.3,172
L54334,L,300.3,310.1,1483,39.9,174
M22015,M,300.2,309.9,1569,31.2,176
M22016,M,,310.0,1664,30.7,179
L54337,L,,310.0,1486,40.1,182
L54338,L,300.2,310.0,1389,53.6,
L54339,L,300.1,310.0,1511,41.7,186
M22020,M,300.2,310.1,1485,40.5,188
L54341,L,300.2,310.2,1440,,191
L54342,L,300.2,310.2,1378,43.9,193
M22023,M,300.1,310.1,1501,39.3,195
M22024,M,300.2,310.1,1474,44.0,198
L54345,L,300.2,310.1,1392,47.9,201
M22026,M,300.3,France,,44.7,203
L54347,L,300.3,310.3,1362,60.3,206
L54348,L,,310.3,1704,,0
L54349,L,300.3,310.2,,52.3,
M22030,M,300.3,France,1442,39.5,
M22031,M,300.2,310.2,1438,51.5,error
M22032,M,300.1,310.1,1402,,10
L54353,L,300.1,310.1,1684,30.8,13
L54354,L,300.2,310.2,1530,48.5,error
L54355,L,300.1,310.1,1569,43.5,17
L54356,L,300.1,310.1,1650,31.6,19
L54357,L,300.2,France,1415,49.6,error
L54358,L,300.2,310.2,1600,31.5,23
L54359,L,300.2,310.1,1523,42.3,25
M22040,M,300.2,310.2,1628,30.3,27
L54361,L,300.2,310.3,1331,52.1,30
L54362,L,300.3,310.3,2158,16.8,32
L54363,L,300.2,310.3,1445,50.9,34
M22044,M,300.2,310.3,1593,36.1,36
L54365,L,300.3,310.4,1672,29.2,39
M22046,M,,310.5,1644,31.4,41
L54367,L,,310.5,1402,54.3,44
L54368,L,300.4,310.4,,56.8,46
L54369,L,,310.4,,46.3,48
L54370,L,,310.3,1345,46.3,50
L54371,L,300.3,310.3,1629,34.1,52
M22052,M,,310.2,1429,43.8,54
L54373,L,,310.1,1306,64.7,57
L54374,L,,310.1,1380,52.6,59
M22055,M,300.1,310.1,1443,,61
H36610,H,300.1,310.1,1426,,64
L54377,L,300.0,310.0,1486,41.8,69
M22058,M,300.0,309.9,,34.5,71
L54379,L,300.0,309.9,1507,41.4,74
L54380,L,300.0,309.9,1608,33.4,76
L54381,L,,309.8,1474,40.6,78
L54382,L,300.0,309.7,,61.9,
M22063,M,299.8,309.6,1434,48.0,82
L54384,L,299.8,309.6,1526,41.7,85
L54385,L,299.8,309.7,1483,39.6,87
L54386,L,299.8,France,1457,51.9,89
M22067,M,299.7,309.6,,34.4,91
L54388,L,299.8,309.7,1707,29.1,94
L54389,L,299.8,309.7,1624,34.2,96
M22070,M,299.8,309.6,1331,50.2,98
L54391,L,299.8,309.7,1431,40.3,101
M22072,M,299.8,309.7,1705,,103
M22073,M,299.8,309.8,1427,45.2,106
M22074,M,299.9,309.8,1625,41.2,109
L54395,L,299.9,309.8,1477,47.7,error
M22076,M,300.0,309.9,1651,28.1,114
L54397,L,299.9,309.8,1716,,117
H36632,H,299.9,309.8,1400,48.7,
M22079,M,299.8,309.7,1556,37.7,124
L54400,L,299.8,309.7,1429,42.6,127
H36635,H,299.7,309.6,1433,49.6,129
M22082,M,299.8,309.7,1320,61.7,134
L54403,L,299.8,309.6,1374,,137
L54404,L,,309.6,1598,31.0,139
M22085,M,299.8,France,1910,21.8,141
L54406,L,299.7,309.6,,51.3,144
L54407,L,299.7,309.6,1720,27.1,146
H36642,H,299.8,309.7,1368,,148
L54409,L,299.8,309.8,1749,33.4,153
L54410,L,299.8,France,1542,39.4,155
L54411,L,299.8,309.9,1553,36.6,157
M22092,M,299.9,309.9,1639,42.1,159
L54413,L,299.9,310.0,,45.9,162
M22094,M,299.8,310.0,1397,48.1,164
L54415,L,299.8,310.0,1361,53.8,167
M22096,M,299.8,310.0,,37.1,169
M22097,M,299.8,310.0,1632,33.7,172
L54418,L,299.8,310.0,1697,36.0,error
L54419,L,299.8,310.1,1553,42.0,177
M22100,M,299.9,310.1,1362,56.3,179
M22101,M,299.9,310.0,1484,42.1,182
H36656,H,299.9,310.1,1447,51.4,185
M22103,M,300.0,310.2,,51.2,190
L54424,L,300.0,310.2,1760,26.9,193
L54425,L,300.0,310.1,1477,34.6,195
L54426,L,299.9,310.1,1681,29.1,197
M22107,M,300.0,310.1,1314,53.5,199
L54428,L,300.0,310.1,1762,28.0,202
L54429,L,299.9,310.0,1402,44.7,204
M22110,M,300.1,310.2,1429,42.0,error
M22111,M,300.2,310.3,1448,40.1,error
