Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M23396,M,,France,1426,45.4,38
L55986,L,297.4,308.5,1692,34.3,error
M20320,M,303.0,312.4,1526,36.1,142
M18622,M,302.3,311.0,1526,37.7,171
L52708,L,302.4,France,1384,50.9,99
M24192,M,,309.0,1921,,
M17977,M,300.1,309.3,1469,43.9,20
L55410,L,299.1,310.5,1736,26.9,74
H37186,H,300.3,311.5,1464,41.0,29
L48526,L,298.6,310.1,1533,33.9,24
L52687,L,302.8,312.1,1520,39.9,48
L55812,L,297.3,308.3,1590,35.5,
M22636,M,300.3,311.5,1445,47.3,error
L50587,L,301.2,310.4,1381,49.8,115
L53135,L,300.7,310.8,1653,,111
L54878,L,300.6,311.5,1419,38.6,31
L56688,L,299.2,310.4,1611,36.4,620.8
L57018,L,298.4,309.2,1425,45.5,
L47461,L,298.1,308.0,1626,36.5,83
L56887,L,299.0,310.1,1699,32.9,
L55694,L,298.2,309.4,1447,47.1,185
L52456,L,303.5,313.0,1606,,126
M16093,M,297.2,308.5,1364,55.6,163
L55715,L,298.6,309.5,1547,44.8,36
M22754,M,300.8,312.6,1588,35.6,114
L49050,L,298.3,308.0,1486,42.3,86
L49241,L,299.7,309.6,1359,50.7,error
M19905,M,304.1,313.2,1510,46.9,152
M15136,M,298.0,307.9,1750,26.6,67
M23435,M,297.6,308.3,1648,29.1,134
L56501,L,298.4,309.2,,53.5,168
M22520,M,300.5,311.6,,52.9,
M17683,M,300.3,309.5,1320,62.2,142
L52753,L,302.5,312.2,1738,25.3,
L49304,L,299.2,308.9,1430,,117
M19435,M,302.9,311.0,1437,49.9,55
M21844,M,300.7,311.0,1706,25.0,153
M23073,M,,310.5,1548,33.5,error
H31393,H,298.0,307.6,1420,45.8,150
M23268,M,298.5,309.6,1572,33.0,127
M20931,M,300.9,310.8,,43.6,185
M22922,M,300.3,311.6,1359,54.1,81
H38427,H,,France,1435,43.0,202
L55151,L,301.0,312.1,1405,46.1,79
L55837,L,297.4,308.4,1421,46.0,124
M16506,M,,307.7,1527,42.8,125
L53894,L,301.3,310.6,1440,53.8,
L52586,L,302.7,312.4,1360,47.8,11
M21772,M,300.8,311.2,1634,31.9,
L47810,L,298.3,310.0,1460,47.6,101
L49344,L,299.6,309.2,1540,,221
L51420,L,302.4,France,1905,20.9,77
L53674,L,300.6,309.7,1617,,185
L51884,L,303.7,311.9,1561,33.3,153
M23473,M,297.5,308.5,1401,50.5,6
L51343,L,302.1,310.5,1696,30.9,107
L55280,L,,311.7,1682,27.8,178
L53887,L,,310.6,1556,39.0,error
H39399,H,298.7,308.5,1572,35.6,202
L47770,L,,309.4,1517,36.7,233
H30525,H,296.5,France,1432,49.2,64
L52442,L,303.4,312.8,1449,43.9,94
L50624,L,301.5,310.6,,50.7,206
M18476,M,301.8,311.1,1413,42.2,9
H33783,H,302.0,309.9,1735,27.2,error
M21516,M,301.4,310.4,1553,44.7,173
L52296,L,304.2,313.8,1401,53.9,142
M22248,M,299.8,310.6,1694,31.3,121
L51403,L,302.0,310.7,1657,31.9,
M16034,M,297.1,308.1,1352,44.4,0
H38406,H,297.2,307.9,,37.2,151
L52834,L,302.3,311.6,1544,34.3,0
M19013,M,302.0,310.4,1212,55.6,79
M24846,M,298.8,308.6,1507,42.3,207
L55976,L,297.2,308.3,1796,23.8,61
L53622,L,300.7,310.2,1348,54.8,50
M22706,M,300.2,311.6,1608,35.0,212
L47946,L,,308.0,1561,38.3,9
L48663,L,,France,1578,35.6,
L51618,L,302.4,310.1,1418,52.3,141
M23559,M,297.3,France,1655,,21
L49354,L,299.6,309.2,1572,33.4,20
L49134,L,297.9,307.8,1459,46.9,85
L54388,L,299.8,309.7,1707,29.1,94
L55526,L,,309.7,1601,35.7,
L52315,L,304.1,313.3,1883,24.5,190
L48112,L,295.6,306.0,1363,50.0,14
M19970,M,,France,1732,,error
H34469,H,303.8,France,1378,45.6,184
L56067,L,297.8,308.9,1530,37.6,106
M19816,M,303.8,312.5,2344,15.2,146
M18367,M,,310.8,1502,34.4,157
H30313,H,295.6,306.2,1329,55.3,135
L49317,L,299.3,308.9,1623,31.1,152
L49476,L,299.4,308.7,1553,42.7,128
M20969,M,300.8,310.9,1514,38.7,66
L51978,L,303.5,312.5,1457,46.4,168
M23871,M,297.2,307.9,1530,35.9,197
L50163,L,300.6,309.6,,57.4,
M16036,M,297.2,308.3,1429,42.0,6
