Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M22840,M,301.2,312.4,-312.4,39.6,102
L55161,L,301.0,312.3,1445,36.4,105
L55162,L,301.0,312.3,1488,42.6,107
L55163,L,301.0,312.2,1601,33.0,109
L55164,L,301.0,312.3,1550,34.9,111
L55165,L,301.0,312.2,1540,34.1,113
L55166,L,,312.3,1587,34.5,115
H37401,H,301.0,312.2,1489,40.3,117
L55168,L,301.1,312.3,1486,34.9,122
L55169,L,301.1,312.4,1430,37.9,124
M22850,M,301.1,France,1809,25.1,error
L55171,L,301.1,312.3,1534,39.0,error
M22852,M,301.1,312.3,1852,25.9,131
L55173,L,301.1,312.3,1595,31.9,134
L55174,L,301.0,312.3,,43.5,136
L55175,L,301.0,312.2,1776,28.8,138
M22856,M,301.0,312.2,1499,41.5,140
M22857,M,301.0,312.2,2710,9.7,143
L55178,L,300.9,312.1,1359,51.7,
M22859,M,300.9,312.1,1617,31.0,148
M22860,M,300.8,312.0,1443,53.3,151
L55181,L,300.8,312.0,1374,50.2,154
M22862,M,300.9,France,,23.0,156
M22863,M,300.8,312.0,1274,67.3,159
L55184,L,,312.0,1533,44.0,162
L55185,L,300.8,312.0,,,error
L55186,L,300.9,312.1,1462,46.0,error
M22867,M,301.0,312.1,1664,28.4,168
L55188,L,300.8,311.9,1414,,171
H37423,H,300.9,312.0,2129,17.8,173
L55190,L,300.8,311.8,1323,61.1,178
L55191,L,300.8,311.8,1427,43.3,180
M22872,M,300.9,312.0,1375,56.1,182
M22873,M,300.9,312.0,,50.7,185
L55194,L,300.9,312.0,,44.2,188
M22875,M,301.0,312.0,1558,37.5,
M22876,M,300.9,312.0,1447,41.4,193
L55197,L,301.0,312.0,1518,39.3,196
L55198,L,301.0,311.9,1889,23.5,198
L55199,L,301.0,312.1,1675,,200
H37434,H,300.9,312.0,1720,27.9,202
M22881,M,301.0,312.0,1499,34.6,207
L55202,L,300.9,312.0,,43.8,210
H37437,H,300.9,France,1397,42.7,212
L55204,L,,312.0,1493,38.7,217
M22885,M,300.8,312.0,1422,50.7,error
L55206,L,300.7,311.9,1399,50.2,222
L55207,L,300.6,311.9,1425,44.9,224
L55208,L,,311.8,1501,44.8,226
M22889,M,300.6,311.9,,35.3,0
L55210,L,300.6,312.0,,,3
L55211,L,300.7,312.0,1550,,5
L55212,L,,312.0,1416,46.5,7
L55213,L,300.7,311.9,1485,38.8,
L55214,L,300.7,311.8,,36.8,11
L55215,L,300.7,311.7,1910,19.7,13
L55216,L,300.7,311.7,1460,46.1,15
L55217,L,300.7,311.8,,34.1,17
L55218,L,300.7,311.8,,47.3,19
L55219,L,300.8,311.9,1560,31.8,21
L55220,L,300.8,311.9,1498,39.3,
H37455,H,300.8,311.9,1431,48.5,25
L55222,L,300.8,311.9,1486,,
L55223,L,300.7,311.9,1486,35.8,32
L55224,L,300.7,311.8,1441,38.1,34
M22905,M,,311.9,1366,,36
L55226,L,300.6,311.8,1471,41.4,39
L55227,L,,311.9,1463,38.2,41
L55228,L,300.6,311.9,1413,41.3,43
H37463,H,300.6,311.9,,30.5,45
L55230,L,300.7,312.0,,51.1,50
L55231,L,300.6,311.8,1652,27.2,52
L55232,L,300.5,311.9,1403,45.7,54
L55233,L,300.5,311.9,1887,,
L55234,L,300.4,France,1405,47.9,
H37469,H,300.2,France,1496,41.1,60
L55236,L,300.1,311.5,,43.4,65
L55237,L,300.2,311.5,1549,37.2,67
L55238,L,300.3,311.6,,44.9,69
L55239,L,300.2,311.6,1540,37.7,71
H37474,H,300.2,311.5,,44.3,73
M22921,M,,311.6,,41.4,
M22922,M,300.3,311.6,1359,54.1,81
