Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L51380,L,302.5,311.1,1571,34.2,
L51381,L,302.4,311.0,2211,15.4,error
L51382,L,302.4,France,1555,40.6,
M19063,M,302.3,310.9,,31.9,207
M19064,M,302.3,310.9,1523,43.2,210
L51385,L,302.3,310.8,1723,26.3,213
M19066,M,302.3,310.8,1721,28.4,215
M19067,M,302.3,310.9,1710,30.4,218
M19068,M,302.3,310.9,1627,32.3,error
M19069,M,302.2,310.8,,47.0,error
L51390,L,302.1,310.8,1565,35.3,6
L51391,L,302.1,310.7,,52.8,8
M19072,M,302.0,310.6,1392,60.5,10
L51393,L,,310.7,1465,40.7,13
L51394,L,,310.6,1573,36.6,15
M19075,M,302.0,310.7,2157,17.8,17
L51396,L,301.9,France,1370,50.3,20
L51397,L,301.9,310.6,1462,38.8,22
M19078,M,302.0,310.6,1479,40.5,24
L51399,L,301.9,310.7,1717,26.8,error
M19080,M,301.9,310.6,1260,,error
L51401,L,301.9,310.6,1467,39.3,32
M19082,M,302.0,310.6,1535,38.6,34
L51403,L,302.0,310.7,1657,31.9,
L51404,L,302.0,310.7,1698,28.1,39
L51405,L,,310.7,1359,49.3,41
L51406,L,302.1,310.8,1596,37.1,
L51407,L,302.2,310.8,1383,46.9,45
L51408,L,302.2,310.8,2203,16.6,47
M19089,M,302.2,France,,46.8,error
L51410,L,,310.8,,32.9,52
L51411,L,302.2,310.8,1340,47.8,54
L51412,L,302.2,310.9,1452,42.3,56
M19093,M,302.2,310.9,1302,53.4,error
H33648,H,302.2,310.9,,35.9,61
L51415,L,302.2,310.8,1438,41.4,66
L51416,L,302.2,310.9,1604,40.5,68
L51417,L,302.2,311.0,1832,23.2,70
M19098,M,302.3,311.0,1521,34.8,72
L51419,L,302.3,311.0,1446,37.6,75
L51420,L,302.4,France,1905,20.9,77
L51421,L,302.4,311.0,1475,47.9,79
L51422,L,302.4,311.0,1462,48.5,error
M19103,M,302.4,310.9,1435,42.3,83
L51424,L,302.4,France,1469,39.6,86
M19105,M,302.6,311.1,1520,43.0,88
L51426,L,302.6,France,1537,35.5,91
