Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L53060,L,301.5,311.1,1434,49.6,129
L53061,L,301.4,311.1,1952,,131
L53062,L,301.4,311.1,1469,36.9,133
L53063,L,301.4,311.1,1800,26.0,135
M20744,M,301.3,311.1,1438,43.0,137
L53065,L,,311.1,1647,28.2,140
L53066,L,301.4,311.1,1494,41.9,142
H35301,H,301.4,311.1,1445,41.4,144
M20748,M,301.5,311.1,1507,38.6,149
M20749,M,301.4,311.0,1234,55.8,152
L53070,L,301.4,311.0,1634,,
L53071,L,301.4,311.0,1334,53.3,157
L53072,L,301.4,311.1,1472,44.5,
M20753,M,301.3,311.0,1410,52.7,161
L53074,L,301.2,310.9,1597,37.9,164
M20755,M,,310.9,1460,46.7,166
L53076,L,,310.8,1274,55.7,169
M20757,M,301.0,310.7,1517,40.2,171
L53078,L,301.0,310.7,1300,,174
H35313,H,300.9,310.6,1686,27.7,176
M20760,M,300.9,France,1485,41.0,181
L53081,L,301.0,310.7,1464,45.8,184
L53082,L,300.9,310.6,1598,35.4,186
L53083,L,300.9,310.5,1894,21.9,
M20764,M,300.8,310.5,1330,59.0,190
H35319,H,300.8,310.5,1582,31.1,
L53086,L,300.7,310.3,1533,35.6,198
H35321,H,300.8,310.4,,46.4,200
M20768,M,300.8,310.3,1526,36.3,205
H35323,H,300.7,310.2,1364,65.3,208
M20770,M,,310.3,1458,43.4,
M20771,M,300.8,310.4,1288,64.0,3
M20772,M,300.7,310.3,1659,29.8,
H35327,H,300.7,310.2,1479,52.3,9
L53094,L,300.7,France,1592,36.0,14
M20775,M,300.6,310.2,,38.7,16
L53096,L,300.6,310.2,1555,41.9,19
L53097,L,300.6,310.2,1341,52.6,21
L53098,L,300.6,France,1541,42.0,error
L53099,L,,310.3,1414,50.6,25
L53100,L,300.5,310.2,1764,25.9,27
L53101,L,300.5,310.3,1336,57.1,29
L53102,L,300.5,310.3,1435,43.3,31
M20783,M,300.4,310.3,1537,35.0,33
L53104,L,300.3,310.2,1369,,36
M20785,M,300.2,310.1,1619,31.3,
L53106,L,300.2,310.1,1440,51.1,41
L53107,L,300.2,310.1,1649,30.5,43
M20788,M,300.2,310.1,1550,,
L53109,L,300.3,310.2,1471,,48
L53110,L,300.3,310.3,,,50
L53111,L,300.3,310.4,1336,54.4,52
L53112,L,300.5,310.5,1515,36.6,54
L53113,L,300.5,310.5,1373,47.4,56
H35348,H,300.6,310.5,1454,51.2,58
L53115,L,300.5,310.5,1646,34.5,
M20796,M,300.5,310.4,1548,37.3,65
M20797,M,300.6,310.5,1462,41.3,68
L53118,L,300.5,310.4,1702,,error
L53119,L,300.5,310.5,1409,60.9,73
M20800,M,300.6,310.6,1427,52.8,75
L53121,L,300.6,310.7,1438,48.5,78
L53122,L,300.7,310.7,1450,43.4,80
L53123,L,300.7,310.7,1541,41.3,
M20804,M,300.7,310.6,1484,38.0,84
M20805,M,300.8,310.8,1415,44.5,87
L53126,L,300.7,310.8,1496,46.4,90
M20807,M,300.7,France,1465,45.2,92
L53128,L,300.7,310.8,2113,18.5,95
